protein	outcome_trait	n_instruments	IVW_beta	IVW_se	IVW_pval	IVW_FDR_q	Egger_beta	Egger_se	Egger_pval	Egger_FDR_q	egger_intercept	egger_intercept_pval	WME_beta	WME_se	WME_pval	WME_FDR_q	Q	Q_df	Q_pval
ACE	AD	5	-0.103802509410174	0.072926550185166	0.154624769999215	0.154624769999215	-0.196624622646246	0.160129453627064	0.307035566677012	0.307035566677012	0.0277625497489854	0.553404781573	-0.0897091668298434	0.0379290668761199	0.018021185939688	0.0230604741095711	17.689050245714	4	0.00141927422484815
ADAM19	AD	5	-0.103802509410174	0.072926550185166	0.154624769999215	0.154624769999215	-0.196624622646246	0.160129453627064	0.307035566677012	0.307035566677012	0.0277625497489854	0.553404781573	-0.0897091668298434	0.0386694224825558	0.0203463245079387	0.0230604741095711	17.689050245714	4	0.00141927422484815
APOE	AD	5	-0.103802509410174	0.072926550185166	0.154624769999215	0.154624769999215	-0.196624622646246	0.160129453627064	0.307035566677012	0.307035566677012	0.0277625497489854	0.553404781573	-0.0897091668298434	0.0394771747527977	0.0230604741095711	0.0230604741095711	17.689050245714	4	0.00141927422484815
